timestamp_ns,tx,ty,tz,qx,qy,qz,qw
5064365666000,0.891979000,2.155614000,0.157357000,-0.133199907,0.792556842,-0.592068475,0.059718991
5064366913000,0.892017000,2.155634000,0.157358000,-0.133144420,0.792582541,-0.592047992,0.059704726
5064368160000,0.892055000,2.155653000,0.157359000,-0.133090023,0.792608233,-0.592027410,0.059689034
5064369407000,0.892093000,2.155673000,0.157360000,-0.133036475,0.792634071,-0.592006538,0.059672321
5064370654000,0.892131000,2.155693000,0.157361000,-0.132983661,0.792660014,-0.591985487,0.059654270
5064371901000,0.892170000,2.155713000,0.157361000,-0.132931586,0.792685963,-0.591964449,0.059634285
5064373148000,0.892208000,2.155733000,0.157361000,-0.132880454,0.792711717,-0.591943608,0.059612776
5064374395000,0.892247000,2.155753000,0.157360000,-0.132830439,0.792737471,-0.591922633,0.059590050
5064375642000,0.892286000,2.155773000,0.157359000,-0.132781323,0.792763436,-0.591901292,0.059566060
5064376889000,0.892326000,2.155792000,0.157358000,-0.132732661,0.792789492,-0.591879855,0.059540730
5064378136000,0.892365000,2.155812000,0.157357000,-0.132684419,0.792815385,-0.591858685,0.059513921
5064379383000,0.892405000,2.155832000,0.157356000,-0.132636728,0.792841094,-0.591837796,0.059485468
5064380630000,0.892445000,2.155851000,0.157354000,-0.132589417,0.792866682,-0.591817136,0.059455434
5064381877000,0.892484000,2.155870000,0.157352000,-0.132542684,0.792892171,-0.591796630,0.059423818
5064383124000,0.892525000,2.155890000,0.157350000,-0.132496848,0.792917402,-0.591776408,0.059390751
5064384371000,0.892565000,2.155909000,0.157348000,-0.132451849,0.792942157,-0.591756799,0.059355992
5064385618000,0.892605000,2.155928000,0.157346000,-0.132407498,0.792966288,-0.591738045,0.059319521
5064386865000,0.892645000,2.155947000,0.157344000,-0.132363794,0.792989985,-0.591719841,0.059281859
5064388112000,0.892686000,2.155966000,0.157341000,-0.132320503,0.793013333,-0.591702115,0.059243099
5064389359000,0.892726000,2.155984000,0.157339000,-0.132277562,0.793036246,-0.591684999,0.059203212
5064390606000,0.892767000,2.156003000,0.157336000,-0.132235235,0.793058761,-0.591668391,0.059162149
5064391853000,0.892807000,2.156021000,0.157334000,-0.132193277,0.793080770,-0.591652519,0.059119592
5064393100000,0.892848000,2.156039000,0.157331000,-0.132151193,0.793102273,-0.591637483,0.059075683
5064394347000,0.892889000,2.156058000,0.157329000,-0.132109227,0.793123247,-0.591623227,0.059030718
5064395274000,0.892919000,2.156071000,0.157327000,-0.132078251,0.793138656,-0.591612867,0.058996800
5064395594000,0.892930000,2.156075000,0.157326000,-0.132067681,0.793143942,-0.591609326,0.058984916
5064396841000,0.892971000,2.156092000,0.157324000,-0.132026875,0.793164092,-0.591596091,0.058938032
5064398088000,0.893012000,2.156109000,0.157321000,-0.131986732,0.793183562,-0.591583759,0.058889685
5064399335000,0.893053000,2.156126000,0.157318000,-0.131947105,0.793202459,-0.591572224,0.058839821
5064400582000,0.893094000,2.156142000,0.157315000,-0.131907770,0.793220984,-0.591561205,0.058789038
5064401829000,0.893135000,2.156158000,0.157312000,-0.131868524,0.793239413,-0.591550364,0.058737495
5064403076000,0.893176000,2.156174000,0.157309000,-0.131828853,0.793257714,-0.591539907,0.058684685
5064404323000,0.893217000,2.156190000,0.157306000,-0.131788934,0.793275692,-0.591530074,0.058630403
5064405570000,0.893258000,2.156206000,0.157303000,-0.131749330,0.793293223,-0.591520880,0.058574952
5064406817000,0.893299000,2.156221000,0.157300000,-0.131709958,0.793310453,-0.591512128,0.058518496
5064408064000,0.893340000,2.156236000,0.157297000,-0.131670296,0.793327386,-0.591503887,0.058461470
5064409311000,0.893381000,2.156251000,0.157294000,-0.131630354,0.793343950,-0.591496276,0.058403616
5064410558000,0.893421000,2.156266000,0.157291000,-0.131590282,0.793360125,-0.591489327,0.058344549
5064411805000,0.893462000,2.156281000,0.157288000,-0.131550260,0.793375857,-0.591483033,0.058284649
5064413052000,0.893502000,2.156295000,0.157284000,-0.131510672,0.793391310,-0.591477034,0.058224477
5064414299000,0.893543000,2.156309000,0.157281000,-0.131471459,0.793406445,-0.591471395,0.058164057
5064415546000,0.893583000,2.156323000,0.157278000,-0.131432169,0.793421109,-0.591466478,0.058102794
5064416795000,0.893623000,2.156337000,0.157275000,-0.131392770,0.793435199,-0.591462460,0.058040361
5064418040000,0.893663000,2.156350000,0.157272000,-0.131353987,0.793448464,-0.591459502,0.057976923
5064419290000,0.893704000,2.156363000,0.157270000,-0.131315578,0.793461088,-0.591457452,0.057912020
5064420534000,0.893744000,2.156376000,0.157267000,-0.131277466,0.793472938,-0.591456426,0.057846519
5064421781000,0.893783000,2.156388000,0.157265000,-0.131239479,0.793483871,-0.591456703,0.057779879
5064423028000,0.893823000,2.156401000,0.157263000,-0.131201964,0.793493739,-0.591458401,0.057712142
5064424275000,0.893863000,2.156413000,0.157262000,-0.131164722,0.793502594,-0.591461485,0.057643394
5064425522000,0.893902000,2.156425000,0.157260000,-0.131127256,0.793510517,-0.591465946,0.057573751
5064426769000,0.893941000,2.156436000,0.157259000,-0.131089266,0.793517501,-0.591471866,0.057503152
5064428016000,0.893981000,2.156448000,0.157258000,-0.131050983,0.793523698,-0.591478970,0.057431772
5064428607000,0.893999000,2.156453000,0.157258000,-0.131032894,0.793526482,-0.591482539,0.057397810
5064429263000,0.894020000,2.156458000,0.157258000,-0.131012648,0.793529245,-0.591487026,0.057359579
5064430510000,0.894059000,2.156468000,0.157257000,-0.130973821,0.793533810,-0.591496618,0.057286136
5064431757000,0.894097000,2.156478000,0.157257000,-0.130934474,0.793537589,-0.591507443,0.057211914
5064433004000,0.894136000,2.156487000,0.157256000,-0.130895010,0.793540828,-0.591519029,0.057137462
5064434251000,0.894174000,2.156496000,0.157256000,-0.130855427,0.793543711,-0.591531130,0.057062752
5064435498000,0.894213000,2.156504000,0.157256000,-0.130815547,0.793546219,-0.591543841,0.056987497
5064436745000,0.894251000,2.156513000,0.157256000,-0.130775283,0.793548121,-0.591557463,0.056911964
5064437992000,0.894289000,2.156521000,0.157256000,-0.130734780,0.793549342,-0.591572082,0.056836000
5064439239000,0.894326000,2.156528000,0.157256000,-0.130694113,0.793550254,-0.591587190,0.056759495
5064440486000,0.894363000,2.156536000,0.157256000,-0.130653110,0.793551023,-0.591602562,0.056682866
5064441733000,0.894401000,2.156543000,0.157256000,-0.130611705,0.793551484,-0.591618447,0.056605990
5064442980000,0.894437000,2.156549000,0.157256000,-0.130569957,0.793551770,-0.591634690,0.056528465
5064444227000,0.894474000,2.156556000,0.157256000,-0.130528043,0.793551891,-0.591651267,0.056450022
5064445474000,0.894510000,2.156562000,0.157256000,-0.130485965,0.793551705,-0.591668350,0.056370801
5064446721000,0.894547000,2.156567000,0.157256000,-0.130443563,0.793551333,-0.591685808,0.056290875
5064447968000,0.894582000,2.156573000,0.157256000,-0.130401183,0.793550986,-0.591703248,0.056210583
5064449215000,0.894618000,2.156578000,0.157256000,-0.130358674,0.793550754,-0.591720551,0.056130269
5064450462000,0.894653000,2.156582000,0.157256000,-0.130315901,0.793550779,-0.591737611,0.056049329
5064451709000,0.894688000,2.156587000,0.157256000,-0.130273238,0.793551069,-0.591754324,0.055967891
5064452956000,0.894723000,2.156591000,0.157256000,-0.130230646,0.793551461,-0.591770886,0.055886274
5064454203000,0.894757000,2.156595000,0.157256000,-0.130187905,0.793552019,-0.591787249,0.055804619
5064455450000,0.894791000,2.156598000,0.157256000,-0.130144831,0.793552975,-0.591803116,0.055723170
5064456698000,0.894825000,2.156601000,0.157255000,-0.130101005,0.793553853,-0.591819211,0.055642006
5064457944000,0.894858000,2.156604000,0.157255000,-0.130056147,0.793554524,-0.591835793,0.055560875
5064459192000,0.894891000,2.156606000,0.157255000,-0.130010630,0.793555325,-0.591852376,0.055479260
5064460438000,0.894924000,2.156608000,0.157254000,-0.129964728,0.793556270,-0.591868846,0.055397515
5064461686000,0.894956000,2.156610000,0.157254000,-0.129918105,0.793557277,-0.591885367,0.055315879
5064461941000,0.894963000,2.156610000,0.157254000,-0.129908508,0.793557492,-0.591888743,0.055299203
5064462933000,0.894989000,2.156610000,0.157254000,-0.129870718,0.793558313,-0.591902029,0.055233940
5064464180000,0.895020000,2.156609000,0.157253000,-0.129822331,0.793559291,-0.591919007,0.055151640
5064465427000,0.895052000,2.156609000,0.157253000,-0.129772977,0.793560184,-0.591936290,0.055069386
5064466674000,0.895083000,2.156607000,0.157253000,-0.129722881,0.793560701,-0.591954229,0.054987080
5064467921000,0.895113000,2.156605000,0.157254000,-0.129672363,0.793560934,-0.591972662,0.054904362
5064469168000,0.895143000,2.156603000,0.157254000,-0.129621131,0.793560800,-0.591991753,0.054821384
5064470415000,0.895173000,2.156601000,0.157255000,-0.129569041,0.793560064,-0.592011841,0.054738182
5064471662000,0.895202000,2.156598000,0.157256000,-0.129516211,0.793558750,-0.592032831,0.054655178
5064472909000,0.895231000,2.156594000,0.157258000,-0.129462682,0.793557027,-0.592054505,0.054572177
5064474156000,0.895259000,2.156590000,0.157260000,-0.129408026,0.793554900,-0.592076974,0.054488909
5064475403000,0.895287000,2.156586000,0.157262000,-0.129352242,0.793552432,-0.592100129,0.054405626
5064476650000,0.895315000,2.156581000,0.157264000,-0.129295384,0.793549691,-0.592123831,0.054322750
5064477897000,0.895342000,2.156576000,0.157266000,-0.129237248,0.793546901,-0.592147812,0.054240377
5064479144000,0.895368000,2.156570000,0.157269000,-0.129177669,0.793544012,-0.592172187,0.054158383
5064480391000,0.895394000,2.156564000,0.157272000,-0.129116584,0.793540777,-0.592197296,0.054076848
5064481638000,0.895420000,2.156557000,0.157275000,-0.129054198,0.793537193,-0.592223074,0.053995993
5064482885000,0.895445000,2.156550000,0.157279000,-0.128990282,0.793533564,-0.592249173,0.053915748
5064484132000,0.895469000,2.156542000,0.157283000,-0.128924353,0.793530271,-0.592275238,0.053835514
5064485379000,0.895493000,2.156533000,0.157287000,-0.128856316,0.793527073,-0.592301625,0.053755175
5064486626000,0.895516000,2.156524000,0.157291000,-0.128786197,0.793523872,-0.592328434,0.053675000
5064487873000,0.895539000,2.156515000,0.157295000,-0.128714371,0.793520808,-0.592355366,0.053595325
5064489120000,0.895561000,2.156505000,0.157300000,-0.128641252,0.793517841,-0.592382371,0.053516256
5064490367000,0.895583000,2.156494000,0.157305000,-0.128566348,0.793515117,-0.592409385,0.053437568
5064491614000,0.895604000,2.156483000,0.157309000,-0.128489414,0.793512754,-0.592436320,0.053359027
5064492861000,0.895625000,2.156472000,0.157315000,-0.128410832,0.793510527,-0.592463382,0.053280794
5064494108000,0.895645000,2.156460000,0.157320000,-0.128330800,0.793508358,-0.592490624,0.053202938
5064495275000,0.895663000,2.156448000,0.157325000,-0.128255238,0.793506402,-0.592516131,0.053130195
5064495355000,0.895664000,2.156447000,0.157325000,-0.128249943,0.793506300,-0.592517861,0.053125206
5064496602000,0.895683000,2.156433000,0.157331000,-0.128166510,0.793504753,-0.592544886,0.053048187
5064497849000,0.895702000,2.156418000,0.157337000,-0.128081052,0.793503626,-0.592571701,0.052971869
5064499096000,0.895720000,2.156402000,0.157342000,-0.127993799,0.793502947,-0.592598262,0.052895745
5064500343000,0.895737000,2.156386000,0.157348000,-0.127904805,0.793502607,-0.592624718,0.052819672
5064501590000,0.895754000,2.156370000,0.157354000,-0.127814141,0.793502584,-0.592651039,0.052744102
5064502837000,0.895770000,2.156352000,0.157360000,-0.127721827,0.793502880,-0.592677240,0.052668813
5064504084000,0.895785000,2.156334000,0.157366000,-0.127627810,0.793503368,-0.592703564,0.052593079
5064505331000,0.895800000,2.156316000,0.157373000,-0.127532206,0.793504076,-0.592729938,0.052517021
